item_text_ar,item_text_en_ai
٢. عندما يكون طفلك مقابلً لمرآة كبيرة، هل يحاول الوصول إليها ولمسها؟,"2. When your child is facing a large mirror, does he try to reach out and touch it?"
٢. عندما يكون طفلك واقفًا ومستندًا إلى قطعة أثاث، هل يمكنه الانحناء بجسده إلى الأسفل دون أن يقع أو ينزلق؟,"2. When your child is standing and leaning against a piece of furniture, can he bend down without falling or slipping?"
٢. قم برص أربعة مكعبات أو سيارات في صف مستقيم أمام طفلك، هل يقلدك برص اثنين على الأقل؟,2. Arrange four blocks or cars in a straight row in front of your child. Does he imitate you by stacking at least two?
٢. قم برص أربعة مكعبات أو سيارات في صف مستقيم أمام طفلك، هل يقلدك برصها كلها؟,2. Arrange four blocks or cars in a straight row in front of your child. Does he imitate you by stacking them all?
٢. هل يأكل طفلك باستخدام الشوكة أو الملعقة؟,2. Does your child eat with a fork or spoon?
٢. هل يبكي طفلك عندما يكون جائعًا أو مبللً أو متعبًا أو عندما يريد أن يُحمل؟,"2. Does your baby cry when he is hungry, wet, tired or when he wants to be held?"
٢. هل يتتبع طفلك حركتك من مكانك بعينيه؟,2. Does your child track your movement from where you are with his eyes?
٢. هل يتصرف طفلك بشكل مختلف مع الغرباء مقارنة بتصرفه معك أو الأشخاص الذين يعرفهم؟,2. Does your child act differently around strangers than he does with you or people he knows?
٢. هل يتنقل طفلك ماشيًا بدلً من أن يحبو على يديه وركبتيه؟,2. Does your baby walk instead of crawling on his hands and knees?
٢. هل يجري طفلك بشكل جيد، ويتوقف بنفسه عن الجري دون أن يسقط أو يصطدم بشيء؟,2. Does your child run well and stop running on his own without falling or bumping into anything?
٢. هل يجلس طفلك مستقيمًا على الأرض لبضع دقائق دون أن يتكئ على يديه؟,2. Does your child sit upright on the floor for a few minutes without leaning on his hands?
٢. هل يجيب طفلك على أربعة من الأسئلة التالية:,2. Does your child answer four of the following questions:
٢. هل يحاول طفلك أن ينخر بإصبعه لإخراج كسرة خبز -بحجم حبة الفول تقريبًا- من قارورة شفافة كقارورة الماء أو قارورة حليب الطفل؟,2. Is your child trying to poke his finger to remove a piece of bread - about the size of a bean - from a clear bottle such as a water bottle or a baby formula bottle?
٢. هل يحاول طفلك الوصول أو الإمساك بلعبة ما مستخدمًا كلتا يديه معًا؟,2. Is your child trying to reach or grab a toy using both hands?
٢. هل يحاول طفلك الوصول إلى لعبة صغيرة بعيدة عن متناول يديه مستخدمًا ملعقة أوعصا أو أي أداة أخرى، بعد أن تريه كيف يفعل ذلك؟,"2. Does your child try to reach a small toy out of reach using a spoon, stick, or other tool after you show him how to do it?"
٢. هل يحرك طفلك ساقه إلى الأمام عند ركل الكرة دون أن يمسك بأي شيء؟,2. Does your child move his leg forward when kicking the ball without catching anything?
٢. هل يحضن طفلك دميته أو لعبته أثناء اللعب؟,2. Does your child hug his doll or toy while playing?
٢. هل يدور طفلك بعربة الأطفال (أو أي لعبة بعجلات) حول الأشياء، ويرجعها إلى الوراء إذا واجه زاوية لا يستطيع اللف عندها؟,"2. Does your child spin the stroller (or any toy with wheels) around objects, and roll them back if they encounter a corner where they can't turn?"
٢. هل يدُخل طفلك الخيط بالأشياء الصغيرة المثقوبة، مثل كرات الخرز وحبوب المعكرونة وعجلات الألعاب الصغيرة؟,"2. Does your child floss with small, perforated objects, such as bead balls, pasta pods, and small toy wheels?"
٢. هل يذكر طفلك اسم اثنين أو أكثر من أسماء زملائه في اللعب؟ يجب ألا تتضمن هذه القائمة أسماء إخوانه وأخواته.,2. Does your child mention the names of two or more playmates? This list should not include the names of his brothers and sisters.
٢. هل يرتدي طفلك المعطف أوالقميص بنفسه دون مساعدة؟,2. Does your child put on a coat or shirt on his own without help?
٢. هل يردد طفلك جملة مكونة من كلمتين بعد أن تقال له؟ كأن تقول له: “ماما تأكل”، أو “بابا يلعب”، أو “اذهب إلى البيت”؟,"2. Does your child repeat a two-word sentence after it is said to him? Like saying to him: “Mommy is eating,” or “Daddy is playing,” or “Go home”?"
٢. هل يرمي طفلك كرة صغيرة بتحريك ذراعه إلى الأمام؟,2. Does your child throw a small ball by moving his arm forward?
٢. هل يساعدك طفلك بنزع ملابسه كالجورب، أو القبعة، أو الحذاء، أو قفازات اليد؟,"2. Does your child help you remove clothing such as socks, hat, shoes, or gloves?"
٢. هل يستخدم طفلك الملعقة ليطعم نفسه حتى إن كان يسقط منها القليل من الأكل؟,"2. Does your child use a spoon to feed himself, even if he drops some food?"
٢. هل يستخدم طفلك جُملً تحتوي على أربع أو خمس كلمات؟ هل يقول طفلك مثلا “أنا أريد السيارة الحمراء”؟,"2. Does your child use sentences that contain four or five words? Does your child say, for example, “I want the red car”?"
٢. هل يستخدم طفلك كل الكلمات اللازمة لتكوين جملة صحيحة، مثل “ال” التعريف، والضمائر التي تتناسب مع الأفعال؟ كأن يقول “سأذهب إلى الحديقة”، أو أن يسأل:“ هل هناك دمية لألعب بها؟” أو “هل ستأتي أنت معنا أيضًا”؟,"2. Does your child use all the words needed to form a correct sentence, such as the definite article, and pronouns that go with verbs? Such as saying, “I’m going to the park,” or asking, “Is there a doll to play with?” Or “Are you coming with us too?”"
٢. هل يستطيع طفلك أن يجيب على الأسئلة التالية:,2. Can your child answer the following questions:
٢. هل يستطيع طفلك أن يُسقط كسرة خبز -بحجم حبة الفول تقريبًا- في قارورة شفافة كقارورة الماء أو قارورة حليب الطفل؟,"2. Can your child drop a piece of bread, about the size of a bean, into a clear bottle such as a water bottle or baby formula bottle?"
٢. هل يستطيع طفلك فتح زر أو أكثر؟,2. Can your child open one or more buttons?
٢. هل يشرب طفلك الماء، أو العصير، أو أي مشروب آخر من كوب تمسكه أنت؟,"2. Does your child drink water, juice, or another beverage from a cup that you hold?"
٢. هل يصعد أو ينزل طفلك درجتين من درجات السلم بنفسه؟ يمكن لطفلك أن يمسك بدرابزين الدرج أو مقابض السلم أو بالحائط.,"2. Does your child walk up or down two flights of stairs on his own? Your child can hold on to the stair railing, ladder handles, or the wall."
٢. هل يصعد طفلك سلم درج الزحليقة وينزلق منها إلى الأسفل دون المساعدة من أحد؟,2. Does your child climb the steps of the slide and slide down the stairs without anyone's help?
٢. هل يصعد طفلك فوق قطعة من الأثاث، أو أي قطعة صلبة كبيرة الحجم؟,"2. Does your child climb on a piece of furniture, or any large, hard object?"
٢. هل يضع طفلك ثلاث ألعاب أو مكعبات صغيرة فوق بعضها؟,2. Does your child place three toys or small cubes on top of each other?
٢. هل يضع طفلك ست ألعاب أو مكعبات صغيرة فوق بعضها بنفسه؟,2. Does your child stack six toys or small blocks on top of each other by himself?
٢. هل يضع طفلك لعبة صغيرة فوق الأخرى أو مكعبًا فوق الآخر؟,2. Does your child place one small toy on top of another or a cube on top of another?
٢. هل يضغط طفلك بعض المفاتيح للتشغيل والإغلاق؟ كمفاتيح الإضاءة أو تشغيل الألعاب؟,2. Does your child press some switches to turn them on and off? Like light switches or playing games?
٢. هل يطلق طفلك أصواتًا كالعويل، أوالزئير، أو أصواتًا أخرى عميقة؟,"2. Does your baby make sounds like howling, roaring, or other deep sounds?"
٢. هل يعيد طفلك الأشياء إلى أماكنها؟ كأن يضع الألعاب في مكانها على رف الألعاب، والبطانية على السرير، والأطباق في المطبخ؟,"2. Does your child put things back in their places? Like putting the toys in their place on the toy shelf, the blanket on the bed, and the dishes in the kitchen?"
٢. هل يقبض طفلك على إصبعك عندما تلمس راحة يده؟هل يلمس طفلك وجهه بيديه؟,2. Does your child grasp your finger when you touch his palm? Does your child touch his face with his hands?
٢. هل يقف طفلك على قدم واحدة لمدة ثانية واحدة دون أن يستند إلى شيء؟,2. Does your child stand on one foot for one second without leaning on anything?
٢. هل يقفز طفلك رافعًا كلتا قدميه عن الأرض في نفس الوقت؟,2. Does your child jump with both feet off the ground at the same time?
٢. هل يقلب طفلك صفحات كتاب بمفرده؟,2. Does your child turn the pages of a book on his own?
٢. هل يقلب طفلك قارورة شفافة ليستخرج منها كسرة خبز وقعت فيها - بحجم حبة الفول تقريبًا؟,2. Does your child turn over a clear bottle to extract a piece of bread that has fallen into it - about the size of a bean?
٢. هل يقلد طفلك بعض أفعالك كمسح الأرض أو الكنس بالمكنسة، أو الحلاقة، أو تمشيط الشعر؟,"2. Does your child imitate some of your actions, such as mopping the floor, sweeping, shaving, or combing hair?"
٢. هل يقلدك طفلك عندما تقوم بإحدى الحركات التالية:,2. Does your child imitate you when you do one of the following movements:
٢. هل يقول طفلك أربع كلمات أو أكثر بالإضافة إلى كلمتي ”ماما“ و ”بابا“؟,2. Does your child say four or more words in addition to “mama” and “dada”?
٢. هل يقول طفلك ثمان كلمات أو أكثر بالإضافة إلى كلمتي “ماما” و”بابا”؟,2. Does your child say eight or more words in addition to “mama” and “dada”?
٢. هل يكوّن طفلك جملً من ثلاث أو أربع كلمات؟,2. Does your child form sentences with three or four words?
٢. هل يلتقط طفلك بيديه لعبتين صغيرتين -لعبة واحدة في كل يد- ويمسكهما لمدة دقيقة واحدة؟,2. Does your child pick up two small toys with his hands - one toy in each hand - and hold them for one minute?
٢. هل يلتقط طفلك كرة كبيرة بكلتا يديه؟ لا بد أن تقف على مسافة 5 أقدام / 1.5 م من طفلك وتحاول معه مرتين أو ثلاث مرات قبل الإجابة على هذا السؤال.,2. Does your child catch a large ball with both hands? You must stand at a distance of 5 feet/1.5 m from your child and try with him two or three times before answering this question.
٢. هل يلتقط طفلك كسرة خبز مستخدمًا رؤوس أصابعه؟,2. Does your child pick up a piece of bread using his or her fingertips?
٢. هل يلتقط طفلك لعبة صغيرة، ويمسك بها في منتصف يده وأصابعه قابضة عليها؟,"2. Does your child pick up a small toy, hold it in the middle of his hand with his fingers clenching it?"
٢. هل يلعب طفلك بأصابعه عندما تكون يداه مطبقتين إحداهما على الأخرى؟,2. Does your child play with his fingers when his hands are closed together?
٢. هل يلعب طفلك واحدة على الأقل من ألعاب الأطفال الشائعة إذا طلبت منه ذلك، مثل: أن يلوح بيده ”باي باي“، أو ”لعبة تغطية الوجه ثم كشفه“، أو ”التصفيق باليد“؟,"2. Would your child play at least one of the common children's games if you asked him to do so, such as the “bye bye” wave, the “cover and reveal face game,” or the “hand clap”?"
٢. هل يمثل طفلك أدوارًا مختلفة أو يتقمص شخصيات خيالية؟ على سبيل المثال: قد يرتدي ملابس أو اكسسوارات ليقلد شخصية أب، أو أم، أو أخ، أو أخت، أو حيوان أو حتى رمز خيالي.,"2. Does your child role-play or imaginary characters? For example, he may wear clothes or accessories to imitate a father, mother, brother, sister, animal or even a fictional symbol."
٢. هل يمرر طفلك الكرة أو يرميها إليك لترميها إليك مرة أخرى؟,2. Does your child pass the ball or throw it to you so you can throw it back?
٢. هل يمشي طفلك بضع خطوات إلى الأمام إذا كنت تمسك بيد واحدة لمساعدته على التوازن؟,2. Does your child walk a few steps forward if you hold on with one hand to help him balance?
٢. هل يمشي طفلك جيدًا ونادرًا ما يقع على الأرض؟,2. Does your child walk well and rarely fall over?
٢. هل يناغي طفلك بأصواتٍ مثل اغووو، أو اووو، أو آهه؟,"2. Does your baby coo with sounds like “ooooo,” “aww,” or “ahhh”?"
٢. هل ينجح طفلك في التقاط كسرة خبز مستخدمًا إبهامه وبقية الأصابع؟,2. Does your child successfully pick up a piece of bread using his thumb and other fingers?
٢. هل ينفذ طفلك على الأقل ثلاثا من التعليمات التالية دون أن تساعده بالتلميح أو الإشارة؟,2. Does your child carry out at least three of the following instructions without your help by hinting or pointing?
٢. هل ينقلب طفلك من وضعية الاستلقاء على ظهره إلى بطنه مخرجًا ذراعيه من تحت جسده؟,"2. Does your baby turn from lying on his back to his stomach, pulling his arms out from under his body?"
٢. هل يُسقط طفلك لعبتين الواحدة تلو الأخرى في وعاء أو صندوق؟,2. Does your child drop two toys one after the other into a bowl or box?
٢. يحاول طفلك جذب انتباهك أو لفت نظرك إلى شيء ما بسحب يدك أو ملابسك؟,2. Your child is trying to get your attention or draw your attention to something by pulling your hand or your clothing?
٢.اطلب من طفلك أن يرسم شخصًا على ورقة فارغة. لك أن تطلب منه أن يرسم صورة لبنت أو ولد. إذا رسم طفلك شخصًا برأس وجسم و ذراعين وساقين؛,"2. Ask your child to draw a person on a blank sheet of paper. You can ask him to draw a picture of a girl or a boy. If your child draws a person with a head, body, arms and legs;"
٢.عندما تري طفلك أشياء محسوسة وتسأله، “ما لون هذا الشيء؟” هل يُسمي خمسة ألوان مختلفة: كالأحمر، و الأزرق، و الأصفر، و البرتقالي، و الأسود، و الأبيض، و الوردي؟,"2. When you show your child tangible objects and ask him, “What color is this object?” Does he name five different colors: red, blue, yellow, orange, black, white, and pink?"
٢.٢ “ماذا تفعل عند الشعور بالتعب؟”,2.2 “What do you do when you feel tired?”
٢.٤ اكتب إجابة طفلك في الفراغ التالي: الثلج بارد و النار______,2.4 Write your child’s answer in the following space: Ice is cold and fire is _____.
٢.٥“ماذا تفعل عند الشعور بالتعب؟”,2.5 “What do you do when you feel tired?”
٣ هل يضع طفلك علامة على الورقة باستخدام رأس قلم تلوين أو قلم رصاص أو حبر؟,"3 Does your child mark the paper with the tip of a crayon, pencil, or ink?"
٣. أثناء الوقوف، هل يرمي طفلك الكرة إلى الأمام وهو رافعٌ ذراعه بارتفاع كتفه؟ إذا كان طفلك يسقط الكرة أو يرميها دون مستوى الكتف؛ فاختر “ليس بعد”.,"3. While standing, does your child throw the ball forward with his arm raised at shoulder height? If your child drops the ball or throws it below shoulder level; Choose “Not yet.”"
٣. أثناء الوقوف، هل يرمي طفلك الكرة وهو رافعٌ ذراعه بارتفاع كتفه إلى الأمام باتجاه الشخص الذي يبعد عنه مسافة 6 أقدام / مترين؟,"3. While standing, does your child throw the ball with his arm raised shoulder height forward toward the person 6 feet/2 meters away?"
٣. إذا أراد طفلك شيئًا بعيدًا عن متناول يديه، هل يبحث عن كرسي أو صندوق ليصعد عليه حتي يحصل على مايريد؟,"3. If your child wants something out of his reach, does he look for a chair or box to climb on to get what he wants?"
٣. إذا أراد طفلك شيئًا ما، فهل يخبرك عنه من خلال الإشارة إليه؟,"3. If your child wants something, does he tell you about it by pointing to it?"
٣. إذا وضعت خمسة أشياء أمام طفلك، هل يستطيع عدها بالترتيب: واحد ، اثنان ، ثلاثة ، أربعة ، خمسة؟,"3. If you put five objects in front of your child, can he count them in order: one, two, three, four, five?"
٣. اسأل طفلك السؤال التالي و بنفس المفردات “هل أنت ولد أو بنت ؟” هل يجيب طفلك على السؤال بطريقة صحيحة؟,3. Ask your child the following question with the same vocabulary: “Are you a boy or a girl?” Does your child answer the question correctly?
"٣. اطلب من طفلك دون أن تساعده بإشارة أو تلميح:“ ضع الكتاب على الطاولة” وَ “ضع الحذاء
تحت الكرسي”. هل ينفذ طفلك الأوامر المطلوبة منه بطريقة صحيحة؟","3. Ask your child, without helping him with a gesture or hint: “Put the book on the table” and “Put the shoes on.”
Under the chair.” Does your child carry out the commands required of him correctly?"
٣. اطلب من طفلك دون أن تساعده بإشارة أو تلميح:“ ضع الكتاب على الطاولة” وَ “ضع الحذاء تحت الكرسي”. هل ينفذ طفلك الأوامر المطلوبة منه بطريقة صحيحة؟,"3. Ask your child, without helping him with a gesture or hint: “Put the book on the table” and “Put the shoes under the chair.” Does your child carry out the commands required of him correctly?"
٣. اعرض على طفلك كيفية بناء جسر من المكعبات أو الصناديق أو العلب كما في الصورة. هل يقلدك ببناء جسر مشابه؟,"3. Show your child how to build a bridge from cubes, boxes or cans as in the picture. Does he imitate you by building a similar bridge?"
٣. امنح طفلك فرصة ليشاهدك تحرك سحّاب المعطف إلى الأعلى وإلى الأسفل، ثم قل “انظر إلى السحاب وهو يذهب إلى الأعلى وإلى الأسفل.” ثم ضع السحّاب في المنتصف واطلب من طفلك أن يُنزله إلى الأسفل. أعد السحّاب إلى المنتصف ثم اطلب من طفلك أن يحركه إلى الأعلى. كرر هذه العملية عدة مرات مع مراعاة وضع السحاب في المنتصف قبل أن تطلب تحريكه. هل يحرك طفلك السحاب إلى الأعلى عندما تقول “إلى الأعلى” وإلى الأسفل عندما تقول “إلى الأسفل”؟,"3. Give your child a chance to watch you move the coat's zipper up and down, then say, ""Look at the zipper going up and down."" Then place the zipper in the middle and ask your child to pull it down. Return the zipper to the center and ask your child to move it to the top. Repeat this process several times, making sure to center the zipper before asking to move it. Does your child move the zipper up when you say “up” and down when you say “down”?"
٣. بعد أن يراك طفلك تخبئ لعبة صغيرة تحت ورقة أو قطعة قماش، هل يجد اللعبة إذا طلبت منه البحث عنها؟,"3. After your child sees you hiding a small toy under a piece of paper or cloth, will he find the toy if you ask him to look for it?"
٣. بعد أن يشاهدك طفلك ترسم خطًا من أعلى الصفحة إلى أسفلها مستخدمًا قلم تلوين أو قلم رصاص أو حبر، اطلب منه أن يرسم خطًا مشابهًا للذي رسمت. لا تجعله يرسم فوق خطك. هل يستطيع طفلك رىسم خط عمودي؟,"3. After your child watches you draw a line from the top to the bottom of the page using a crayon, pencil, or ink, ask him to draw a line similar to the one you drew. Don't let him draw over your line. Can your child draw a vertical line?"
٣. بعد أن يشاهدك طفلك ترسم خطًا من يمين الصفحة إلى يسارها، اطلب منه أن يرسم خطًا مشابهًا للذي رسمت. لا تجعله يرسم فوق خطك. هل يستطيع طفلك رىسم خط أفقي؟,"3. After your child watches you draw a line from the right to the left of the page, ask him to draw a line similar to the one you drew. Don't let him draw over your line. Can your child draw a horizontal line?"
٣. بعد أن يشاهدك طفلك ترسم دائرة. اطلب منه أن يرسم دائرة كالتي رسمت. لا تجعله يرسم فوقها. هل يقلدك طفلك برسم دائرة؟,3. After your child watches you draw a circle. Ask him to draw a circle like the one I drew. Don't let him paint over it. Does your child imitate you by drawing a circle?
٣. حينما تحرك لعبة أمام طفلك من جهة لأخرى (على بعد 10 بوصات / 25 سم تقريبًا)، هل يتتبع طفلك حركة اللعبة بعينيه، أو بتحريك رأسه أحيانًا؟,"3. When you move a toy in front of your baby from side to side (about 10 inches/25 cm away), does your baby track the toy's movement with his eyes, or sometimes by moving his head?"
٣. عندما تخربش على ورقة بقلم تلوين أو قلم رصاص أو حبر، هل يقلد طفلك خربشتك؟,"3. When you scribble on a sheet of paper with crayon, pencil, or ink, does your child imitate your scribbling?"
٣. عندما تساعد طفلك على الوقوف بجانب قطعة أثاث أو حافة سرير، هل يقف ممسكًا بها دون أن يستند بصدره إليها؟,"3. When you help your child stand next to a piece of furniture or the edge of a bed, does he stand holding it without resting his chest on it?"
٣. عندما تشير بإصبعك إلى الصورة المعطاة وتسأل طفلك “ما هذا”؟ هل يجيبك بكلمة تدل على شخص أو ما شابه؟,3. When you point your finger at the given picture and ask your child “What is this”? Does he answer you with a word that refers to a person or something similar?
٣. عندما تضع لعبة في يد طفلك، هل يمسك بها لفترة قصيرة؟,"3. When you place a toy in your child's hand, does he hold it for a short time?"
٣. عندما تطلب من طفلك أن يشير إلى أنفه، أو عينيه ، أو شعره، أو قدميه، أو أذنيه أو غيرها من أجزاء الجسم، هل يستطيع طفلك الإشارة إلى سبعة أجزاء على الأقل بطريقة صحيحة؟,"3. When you ask your child to point to his nose, eyes, hair, feet, ears or other body parts, can your child point to at least seven parts correctly?"
٣. عندما تطلب من طفلك أن يشير إلى أنفه، أو عينيه، أو شعره، أو قدميه، أو أذنيه أو غيرها من أجزاء الجسم، هل يستطيع طفلك الإشارة إلى سبعة أجزاء على الأقل بطريقة صحيحة؟,"3. When you ask your child to point to his nose, eyes, hair, feet, ears or other body parts, can your child point to at least seven parts correctly?"
٣. عندما تقلد الصوت الذي يطلقه طفلك، هل يقوم طفلك بتقليد الصوت نفسه لك؟,"3. When you imitate the sound your child makes, does your child imitate the same sound back to you?"
٣. عندما تمد يدك وتطلب من طفلك أن يعطيك لعبته، هل يفلتها في يديك؟,"3. When you reach out and ask your child to give you his toy, does he release it into your hands?"
٣. عندما تمسك بطفلك في وضعية الجلوس هل ينظر إلى لعبة بحجم كوب أو خشخيشة تضعها على طاولة أمامه أو على الأرض؟,"3. When you hold your baby in a sitting position, does he look at a cup-sized toy or a rattle that you place on a table in front of him or on the floor?"
٣. عندما تنادي طفلك وأنت بعيد عن نظره، هل ينظر إلى الاتجاه الذي يصدر منه صوتك؟,"3. When you call your child out of sight, does he look in the direction your voice is coming from?"
٣. عندما يرى طفلك زجاجة الحليب أو الثدي ، هل يظهر معرفته أنه على وشك أن يتغذى؟,"3. When your baby sees a bottle or breast, does he show knowledge that he is about to be fed?"
٣. عندما يكون طفلك مستلقيًا على بطنه، هل يبقي رأسه مرفوعًا إلى الأعلى لبضع ثوانٍ؟,"3. When your baby is lying on his stomach, does he keep his head up for a few seconds?"
٣. عندما يكون طفلك مستلقيًا على بطنه، هل يقوم برفع رأسه وإبعاد ذقنه عن الأرض ما يقارب مسافة 3 بوصة / 8 سم لمدة 15 ثانية على الأقل؟,"3. When your baby is lying on his stomach, does he lift his head and keep his chin about 3 inches/8 cm off the floor for at least 15 seconds?"
٣. عندما يكون طفلك مستلقيًا على ظهره هل يحاول اللعب بإمساك قدمه؟,"3. When your baby is lying on his back, does he try to play by holding his foot?"
٣. عندما يكون طفلك مستلقيًا على ظهره، هل يحاول الوصول إلى لعبة سقطت منه إذا كان يستطيع أن يراها؟,"3. When your baby is lying on his back, does he try to reach a dropped toy if he can see it?"
٣. عندما يمسك طفلك بلعبة بيده، هل يقوم بضربها بلعبة أخرى تكون موجودة على الطاولة أو على الأرض؟,"3. When your child holds a toy in his hand, does he hit it with another toy that is on the table or on the floor?"
٣. عندما ينظر طفلك إلى المرآة، اسأله “أين ______ (اسم طفلك)؟ هل يشير طفلك إلى صورته المعكوسة بالمرآة؟,"3. When your child looks in the mirror, ask, “Where is ______ (your child’s name)?” Does your child point to his or her reflection in the mirror?"
٣. عندما ينظر طفلك لنفسه في المرآة وتسأله:“ من تشاهد في المرآة؟”، هل يجيب بذكر اسمه أو بقول “أنا”؟,3. When your child looks at himself in the mirror and you ask him: “Who do you see in the mirror?” does he answer by saying his name or by saying “me”?
٣. قم برص أربعة مكعبات أو سيارات في صف مستقيم أمام طفلك، هل يقلدك برصها كلها؟ (بإمكانك استخدام بكرات خيوط، أو صناديق صغيرة، أو ألعاب أخرى).,"3. Arrange four blocks or cars in a straight row in front of your child. Does he imitate you by stacking them all? (You can use spools of string, small boxes, or other toys.)"
٣. هل يأكل طفلك باستخدام الشوكة أو الملعقة؟,3. Does your child eat with a fork or spoon?
٣. هل يبتسم لك طفلك؟,3. Does your child smile at you?
٣. هل يتبع طفلك أمرًا بسيطًا واحدًا دون أن تستخدم معه التلميح أو الإشارة باليد؟ كأن تقول ”تعال هنا“، أو ”اعطني“، أو ”أعده مكانه“؟,"3. Does your child follow one simple command without a hint or hand signal? Like saying “Come here,” or “Give it to me,” or “Put it back in its place”?"
٣. هل يتبع طفلك ثلاثة أوامر مختلفة باستخدام الكلمات “تحت”، “بين” و “في الوسط”، دون أن تساعده بالإشارة؟ اطلب منه مثلاً أن يضع الحذاء “ تحت الكنبة”. ثم اطلبه أن يضع الكرة “بين الكراسي” و يضع الكتاب “في وسط الطاولة”.,"3. Does your child follow three different commands using the words “under,” “between,” and “in the middle,” without you pointing? Ask him, for example, to put his shoes “under the sofa.” Then ask him to put the ball “between the chairs” and the book “in the middle of the table.”"
٣. هل يتظاهر طفلك باستخدام الأشياء على غير حقيقتها؟ كأن يرفع كوبًا بالقرب من أذنيه متظاهرًا أنه هاتف؟ أو أن يضع صندوقًا على رأسه متظاهرًا أنه قبعة؟ أو أن يستخدم لعبة صغيرة لتقليب طعامه؟,3. Does your child pretend to use things that are not what they are? Like holding a cup up to his ears pretending it was a phone? Or put a box on his head pretending to be a hat? Or use a small toy to stir his food?
٣. هل يتوقف طفلك عن البكاء عندما يسمع صوتًا غير صوتك؟,3. Does your baby stop crying when he hears a voice other than yours?
٣. هل يحاول طفلك التقاط كسرة خبز بثني أصابعه، حتى لو لم يستطع التقاطها؟,"3. Does your child try to pick up a piece of bread by bending his fingers, even if he can't pick it up?"
٣. هل يحاول طفلك الوصول إلى كسرة خبز ولمسها بإصبعه أو بيده؟,3. Does your child try to reach out and touch a piece of bread with his finger or hand?
٣. هل يحاول طفلك الوصول إلى لعبة ليست في متناول يديه؟,3. Is your child trying to reach a toy that is not within his reach?
٣. هل يحاول طفلك جذب انتباهك أو لفت نظرك إلى شيء ما بسحب يدك أو ملابسك؟,3. Is your child trying to get your attention or draw your attention to something by pulling your hand or clothing?
٣. هل يحرك طفلك رأسه عندما يريد أن يقول: ”نعم“ أو ”لا“؟,3. Does your child move his head when he wants to say “yes” or “no”?
٣. هل يحرك طفلك ساقه إلى الأمام عند ركل الكرة دون أن يمسك بأي شيء؟,3. Does your child move his leg forward when kicking the ball without catching anything?
٣. هل يحضن طفلك دميته أو لعبته أثناء اللعب؟,3. Does your child hug his doll or toy while playing?
٣. هل يدُخل طفلك الخيط بالأشياء الصغيرة المثقوبة، مثل كرات الخرز وحبوب المعكرونة وعجلات الألعاب الصغيرة؟,"3. Does your child floss with small, perforated objects, such as bead balls, pasta pods, and small toy wheels?"
٣. هل يذكر طفلك صفتين على الأقل لوصف أشياء محسوسة ومألوفة؟ إذا قلت لطفلك مثلً “حدثني عن كرتك” هل يجيب مثلا بأن “الكرة مدورة. أنا أرميها. الكرة كبيرة”؟,"3. Does your child name at least two adjectives to describe tangible, familiar things? If you said to your child, for example, “Tell me about your ball,” would he answer, for example, “The ball is round. I throw it. The ball is big”?"
٣. هل يرتدي طفلك المعطف أوالقميص بنفسه دون مساعدة؟,3. Does your child put on a coat or shirt on his own without help?
٣. هل يرفع طفلك نفسه على اليدين والركبتين متخذًا وضعية الحبو؟,3. Does your baby raise himself up on his hands and knees in a crawling position?
٣. هل يساعدك طفلك في تقليب صفحات كتاب؟,3. Does your child help you turn the pages of a book?
٣. هل يستخدم طفلك صيغة الفعل الماضي عندما يتحدث عن الماضي؟ كأن يقول “مشيت، قفزت، لعبت”؟,"3. Does your child use the past tense when talking about the past? Like saying “I walked, I jumped, I played”?"
٣. هل يستطيع طفلك نسخ الأشكال الموجودة بالأسفل على ورقة كبيرة مستخدمًا قلم تلوين أو قلم رصاص أو حبر دون أن يتتبعها؟,"3. Can your child copy the shapes below onto a large sheet of paper using a crayon, pencil or ink without tracing them?"
٣. هل يشرب طفلك من كوب ثم يعيده إلى مكانه؟ حتى وإن انسكب القليل من السائل؟,3. Does your child drink from a cup and then put it back in its place? Even if a little liquid is spilled?
٣. هل يشير طفلك إلى الصورة الصحيحة عندما تقول له مثلً:“ أرني القطة”، أوتسأله: “أين الكلب؟” دون أن تساعده؟,"3. Does your child point to the correct picture when you say, for example, “Show me the cat,” or ask, “Where is the dog?” Without helping him?"
٣. هل يصدر طفلك أصواتًا لك عندما تكلمه؟,3. Does your child make noises when you talk to him?
٣. هل يصعد أو ينزل طفلك درجتين من درجات السلم بنفسه؟ يمكن لطفلك أن يمسك بدرابزين الدرج أو مقابض السلم أو بالحائط.,"3. Does your child walk up or down two flights of stairs on his own? Your child can hold on to the stair railing, ladder handles, or the wall."
٣. هل يصعد طفلك سلم الدرج مستخدمًا قدمًا واحدة لكل درجة يصعدها؟,3. Does your child climb stairs using one foot for each step?
٣. هل يضع طفلك لعبة صغيرة على الأرض دون أن تسقط منه، ومن ثم يُبعد يده عنها؟,"3. Does your child place a small toy on the floor without it falling, and then move his hand away from it?"
٣. هل يضع طفلك لعبة صغيرة فوق الأخرى أو مكعبًا فوق الآخر؟,3. Does your child place one small toy on top of another or a cube on top of another?
٣. هل يطعم طفلك نفسه قطعة بسكويت أو كعكة؟,3. Does your child feed himself a cookie or cake?
٣. هل يطلق طفلك صوتين متشابهين كالأصوات الآتية: ”دا دا“، أو ”با با“، أو ”غا غا“؟,"3. Does your child make two similar sounds, such as “da-da,” “ba-ba,” or “ga-ga”?"
